Date,Close,pe,dividend yield,return,payout,future_crash
07-Jun-18,9300.1,31.5,1.08,0.05430049,34.02,0
08-Jun-18,9316.25,31.59,1.08,0.04655307,34.12,0
11-Jun-18,9332.4,31.67,1.08,0.04443123,34.2,0
12-Jun-18,9386.45,31.84,1.07,0.03020311,34.07,0
13-Jun-18,9386.4,31.76,1.07,0.01674763,33.98,0
14-Jun-18,9356.65,31.66,1.08,0.02080873,34.19,0
15-Jun-18,9343.7,31.61,1.08,0.01953188,34.14,0
18-Jun-18,9318.55,30.74,1.08,0.03513959,33.2,0
19-Jun-18,9234.5,30.46,1.09,0.03758731,33.2,0
20-Jun-18,9276.4,30.52,1.09,0.03101419,33.27,0
21-Jun-18,9240.25,30.35,1.09,0.04248803,33.08,0
22-Jun-18,9296.65,30.53,1.09,0.04153647,33.28,0
25-Jun-18,9234.4,30.33,1.09,0.04959174,33.06,0
26-Jun-18,9231.8,30.86,1.09,0.0461611,33.64,0
27-Jun-18,9129.25,30.38,1.11,0.06394282,33.72,0
28-Jun-18,9036.95,30.1,1.12,0.07833395,33.71,0
29-Jun-18,9162.45,30.47,1.09,0.06492259,33.21,0
02-Jul-18,9109.0,30.41,1.1,0.07331211,33.45,0
03-Jul-18,9149.4,30.68,1.09,0.05555009,33.44,0
04-Jul-18,9194.55,31.27,1.09,0.02754349,34.08,0
05-Jul-18,9166.6,31.92,1.09,0.03153296,34.79,0
06-Jul-18,9194.5,31.93,1.09,0.02236119,34.8,0
09-Jul-18,9277.95,32.13,1.08,0.0203116,34.7,0
10-Jul-18,9359.4,32.41,1.07,0.01050815,34.68,0
11-Jul-18,9344.25,32.52,1.07,0.01336651,34.8,0
12-Jul-18,9380.9,32.65,1.07,0.01587801,34.94,0
13-Jul-18,9349.05,32.54,1.07,0.02078286,34.82,0
16-Jul-18,9231.25,32.13,1.08,0.0243629,34.7,0
17-Jul-18,9315.25,32.42,1.07,-0.0011379,34.69,0
18-Jul-18,9269.55,32.26,1.08,-0.0023518,34.84,0
19-Jul-18,9236.3,32.15,1.08,-0.0002977,34.72,0
20-Jul-18,9286.1,32.32,1.11,-0.013531,35.88,0
23-Jul-18,9363.85,32.6,1.1,-0.0218607,35.86,0
24-Jul-18,9450.65,32.9,1.09,-0.027305,35.86,0
25-Jul-18,9449.9,32.9,1.09,-0.036085,35.86,0
26-Jul-18,9487.9,33.03,1.08,-0.0509965,35.67,0
27-Jul-18,9579.05,33.35,1.09,-0.0557571,36.35,0
30-Jul-18,9618.7,33.48,1.08,-0.0710023,36.16,0
31-Jul-18,9650.6,33.59,1.08,-0.0732234,36.28,0
01-Aug-18,9651.7,33.54,1.08,-0.0849332,36.22,0
02-Aug-18,9588.8,33.28,1.08,-0.069894,35.94,0
03-Aug-18,9685.7,33.56,1.07,-0.0858017,35.91,0
06-Aug-18,9709.35,33.32,1.07,-0.0751544,35.65,0
07-Aug-18,9704.8,33.31,1.07,-0.0678273,35.64,0
08-Aug-18,9744.75,33.32,1.07,-0.0877036,35.65,0
09-Aug-18,9769.1,33.4,1.07,-0.0816861,35.74,0
10-Aug-18,9724.45,33.06,1.07,-0.0756495,35.37,0
13-Aug-18,9656.5,33.04,1.08,-0.0681976,35.68,0
14-Aug-18,9726.15,33.29,1.07,-0.0790395,35.62,0
16-Aug-18,9685.65,33.16,1.07,-0.0847801,35.48,0
17-Aug-18,9770.2,33.45,1.06,-0.1075669,35.46,0
20-Aug-18,9839.75,33.62,1.06,-0.1066287,35.64,0
21-Aug-18,9862.5,33.69,1.05,-0.0910317,35.37,0
23-Aug-18,9872.55,33.73,1.05,-0.0861277,35.42,0
24-Aug-18,9850.8,33.32,1.06,-0.0893227,35.32,0
27-Aug-18,9958.8,34.66,1.04,-0.1057055,36.05,0
28-Aug-18,9985.9,34.65,1.04,-0.1009774,36.04,0
29-Aug-18,9973.65,34.61,1.05,-0.1174395,36.34,0
30-Aug-18,9975.2,34.63,1.05,-0.1144939,36.36,0
31-Aug-18,9992.0,34.5,1.04,-0.1146617,35.88,0
03-Sep-18,9921.65,34.26,1.05,-0.1009157,35.97,0
04-Sep-18,9806.05,33.86,1.06,-0.0850138,35.89,0
05-Sep-18,9764.55,33.7,1.07,-0.076747,36.06,0
06-Sep-18,9815.45,33.89,1.06,-0.0849528,35.92,0
07-Sep-18,9875.2,34.08,1.06,-0.0834768,36.12,0
10-Sep-18,9740.1,33.63,1.07,-0.0750454,35.98,0
11-Sep-18,9607.1,33.17,1.09,-0.0784003,36.16,0
12-Sep-18,9660.6,33.36,1.08,-0.0810405,36.03,0
14-Sep-18,9792.75,33.81,1.07,-0.104802,36.18,0
17-Sep-18,9696.45,33.48,1.08,-0.0480537,36.16,0
18-Sep-18,9594.25,33.0,1.09,-0.0112203,35.97,0
19-Sep-18,9545.7,32.83,1.09,-0.0074327,35.78,0
21-Sep-18,9425.55,32.42,1.11,-0.0086361,35.99,0
24-Sep-18,9243.15,31.79,1.13,0.02170797,35.92,0
25-Sep-18,9303.35,32.0,1.12,0.00991578,35.84,0
26-Sep-18,9302.25,32.0,1.13,0.00415491,36.16,0
27-Sep-18,9202.35,31.65,1.14,0.00370014,36.08,0
28-Sep-18,9116.0,30.21,1.15,0.00903905,34.74,0
01-Oct-18,9165.5,30.38,1.14,-0.0080574,34.63,0
03-Oct-18,9056.7,30.02,1.16,-0.0017722,34.82,0
04-Oct-18,8854.85,29.35,1.18,0.03648848,34.63,0
05-Oct-18,8624.95,28.59,1.21,0.05655685,34.59,0
08-Oct-18,8602.6,28.52,1.22,0.06495711,34.79,0
09-Oct-18,8562.95,28.39,1.22,0.07353774,34.64,0
10-Oct-18,8748.5,29.0,1.2,0.05776419,34.8,0
11-Oct-18,8565.6,28.4,1.22,0.08361936,34.65,0
12-Oct-18,8767.1,29.06,1.19,0.07116378,34.58,0
15-Oct-18,8812.0,29.2,1.19,0.07571493,34.75,0
16-Oct-18,8893.8,29.4,1.18,0.06234118,34.69,0
17-Oct-18,8758.6,28.95,1.19,0.07992716,34.45,0
19-Oct-18,8640.65,28.56,1.21,0.09223843,34.56,0
22-Oct-18,8576.95,28.32,1.22,0.09958668,34.55,0
23-Oct-18,8489.9,28.03,1.23,0.11642658,34.48,0
24-Oct-18,8555.65,28.25,1.22,0.12187268,34.47,0
25-Oct-18,8473.5,28.01,1.24,0.1385555,34.73,0
26-Oct-18,8417.25,27.82,1.24,0.15116576,34.5,0
29-Oct-18,8610.1,28.44,1.22,0.12704847,34.7,0
30-Oct-18,8600.3,28.38,1.22,0.13163494,34.62,0
31-Oct-18,8753.45,28.88,1.19,0.10745477,34.37,0
01-Nov-18,8772.5,28.94,1.19,0.10816187,34.44,0
02-Nov-18,8899.4,29.36,1.17,0.09718633,34.35,0
05-Nov-18,8877.9,29.28,1.17,0.09071965,34.26,0
06-Nov-18,8870.3,29.25,1.17,0.09306901,34.22,0
07-Nov-18,8933.5,29.46,1.16,0.07840712,34.17,0
09-Nov-18,8946.35,29.5,1.16,0.0786969,34.22,0
12-Nov-18,8859.25,29.21,1.17,0.09120975,34.18,0
13-Nov-18,8923.55,29.42,1.17,0.08349256,34.42,0
14-Nov-18,8921.45,29.42,1.17,0.0875082,34.42,0
15-Nov-18,8954.65,29.53,1.16,0.08825024,34.25,0
16-Nov-18,8993.25,29.66,1.16,0.07995997,34.41,0
19-Nov-18,9052.75,29.67,1.15,0.06921101,34.12,0
20-Nov-18,8960.15,28.78,1.16,0.09396048,33.38,0
21-Nov-18,8940.3,28.8,1.16,0.09200474,33.41,0
22-Nov-18,8879.0,28.8,1.17,0.10552427,33.7,0
26-Nov-18,8943.0,29.06,1.16,0.10362854,33.71,0
27-Nov-18,8983.9,29.22,1.16,0.09235967,33.9,0
28-Nov-18,8993.25,29.23,1.16,0.08948378,33.91,0
29-Nov-18,9081.85,29.52,1.14,0.07281556,33.65,0
30-Nov-18,9109.15,29.61,1.14,0.07387627,33.76,0
03-Dec-18,9126.9,29.6,1.14,0.06910342,33.74,0
04-Dec-18,9116.45,29.57,1.14,0.06065409,33.71,0
05-Dec-18,9029.45,29.29,1.15,0.07110068,33.68,0
06-Dec-18,8883.25,28.81,1.17,0.08016773,33.71,0
07-Dec-18,8940.65,29.0,1.16,0.07780195,33.64,0
10-Dec-18,8769.6,28.43,1.19,0.10508461,33.83,0
11-Dec-18,8845.15,28.68,1.17,0.10609769,33.56,0
12-Dec-18,9021.6,29.22,1.15,0.08107209,33.6,0
13-Dec-18,9077.3,29.4,1.14,0.08306986,33.52,0
14-Dec-18,9091.3,29.45,1.14,0.08505384,33.57,0
17-Dec-18,9153.95,29.65,1.13,0.08065917,33.5,0
18-Dec-18,9177.35,29.73,1.13,0.07932573,33.59,0
19-Dec-18,9246.8,29.94,1.12,0.07038651,33.53,0
20-Dec-18,9234.45,29.9,1.12,0.06865054,33.49,0
21-Dec-18,9082.55,29.4,1.14,0.08088587,33.52,0
24-Dec-18,9002.45,29.15,1.15,0.10066704,33.52,0
26-Dec-18,9041.7,29.27,1.15,0.09765863,33.66,0
27-Dec-18,9078.8,29.39,1.14,0.08742896,33.5,0
28-Dec-18,9152.55,29.55,1.15,0.08041475,33.98,0
31-Dec-18,9170.0,29.61,1.14,0.08833152,33.76,0
01-Jan-19,9197.9,29.7,1.14,0.08086085,33.86,0
02-Jan-19,9103.4,29.39,1.15,0.0707428,33.8,0
03-Jan-19,9014.8,29.11,1.16,0.08770023,33.77,0
04-Jan-19,9054.9,29.24,1.15,0.08142553,33.63,0
07-Jan-19,9081.15,29.32,1.15,0.09500449,33.72,0
08-Jan-19,9098.65,29.38,1.15,0.09664621,33.79,0
09-Jan-19,9127.45,29.47,1.15,0.10025253,33.89,0
10-Jan-19,9119.4,29.44,1.15,0.1048808,33.86,0
11-Jan-19,9098.2,29.38,1.15,0.10868633,33.79,0
14-Jan-19,9051.45,29.17,1.15,0.11695364,33.55,0
15-Jan-19,9157.15,29.51,1.14,0.10500538,33.64,0
16-Jan-19,9158.75,29.52,1.14,0.09465811,33.65,0
17-Jan-19,9161.6,29.51,1.14,0.09015347,33.64,0
18-Jan-19,9140.1,29.43,1.14,0.08828131,33.55,0
21-Jan-19,9155.3,29.31,1.14,0.09460094,33.41,0
22-Jan-19,9131.15,29.52,1.14,0.10431873,33.65,0
23-Jan-19,9068.85,29.33,1.15,0.10263154,33.73,0
24-Jan-19,9072.2,29.31,1.15,0.0975232,33.71,0
25-Jan-19,8994.35,29.05,1.16,0.11284306,33.7,0
28-Jan-19,8876.6,28.72,1.18,0.11745488,33.89,0
29-Jan-19,8875.65,28.74,1.18,0.11106792,33.91,0
30-Jan-19,8884.9,28.76,1.18,0.0811658,33.94,0
31-Jan-19,9003.85,29.13,1.16,0.07182483,33.79,0
01-Feb-19,9056.3,29.33,1.15,0.08797743,33.73,0
04-Feb-19,9042.0,29.76,1.16,0.10056956,34.52,0
05-Feb-19,9033.6,29.73,1.16,0.10744332,34.49,0
06-Feb-19,9118.7,30.0,1.15,0.0967298,34.5,0
07-Feb-19,9145.8,30.08,1.14,0.08745544,34.29,0
08-Feb-19,9036.9,29.72,1.16,0.10514114,34.48,0
11-Feb-19,8967.15,29.49,1.16,0.11931885,34.21,0
12-Feb-19,8925.3,29.38,1.17,0.12239925,34.37,0
13-Feb-19,8887.9,29.27,1.18,0.12074281,34.54,0
14-Feb-19,8869.3,29.29,1.18,0.11519511,34.56,0
15-Feb-19,8827.05,29.15,1.18,0.11538396,34.4,0
18-Feb-19,8754.35,28.91,1.19,0.13891951,34.4,0
19-Feb-19,8742.3,28.82,1.19,0.13913387,34.3,0
20-Feb-19,8845.6,29.15,1.18,0.10316994,34.4,0
21-Feb-19,8901.7,29.06,1.17,0.09245425,34.0,0
22-Feb-19,8919.75,29.11,1.17,0.07880826,34.06,0
25-Feb-19,8983.85,29.32,1.16,0.06628561,34.01,0
26-Feb-19,8953.15,29.21,1.17,0.03159782,34.18,0
27-Feb-19,8946.2,29.19,1.17,0.02599987,34.15,0
28-Feb-19,8955.95,29.23,1.17,0.04112908,34.2,0
01-Mar-19,9037.5,29.5,1.16,0.024426,34.22,0
05-Mar-19,9173.6,30.06,1.14,0.01161485,34.27,0
06-Mar-19,9230.45,30.24,1.13,-0.0184715,34.17,0
07-Mar-19,9225.35,30.22,1.13,-0.0643878,34.15,0
08-Mar-19,9211.05,30.19,1.13,-0.0643792,34.11,0
11-Mar-19,9345.6,30.62,1.12,-0.154538,34.29,0
12-Mar-19,9440.85,30.93,1.11,-0.1353533,34.33,1
13-Mar-19,9450.25,30.96,1.11,-0.1966456,34.37,1
14-Mar-19,9447.2,30.95,1.11,-0.2148308,34.35,1
15-Mar-19,9499.4,31.13,1.1,-0.2620008,34.24,1
18-Mar-19,9516.7,31.18,1.1,-0.28471,34.3,1
19-Mar-19,9570.15,31.36,1.09,-0.2518299,34.18,1
20-Mar-19,9553.0,31.3,1.09,-0.346488,34.12,1
22-Mar-19,9500.05,31.13,1.1,-0.3299562,34.24,1
25-Mar-19,9411.65,30.84,1.11,-0.2855663,34.23,1
26-Mar-19,9512.6,31.17,1.1,-0.2647804,34.29,1
27-Mar-19,9501.8,31.13,1.1,-0.2629502,34.24,1
28-Mar-19,9601.95,31.46,1.09,-0.2971011,34.29,1
29-Mar-19,9663.7,31.22,1.08,-0.2759761,33.72,1
01-Apr-19,9702.0,31.33,1.07,-0.3030355,33.52,1
